latitude,longitude,corridor,soil_moisture,water_pressure,acceleration,tilt_angle,temperature,humidity,rainfall,antecedent_rainfall_7d,slope_angle_deg,factor_of_safety,landslide_triggered
27.1529,88.2419,"Rimbi, Sikkim",40.73,3.55,9.87,0.042,18.0,64.0,11.47,33.49,36.81,1.468,0
27.2459,88.1828,"Rimbi, Sikkim",60.0,23.46,10.808,6.334,16.6,75.8,215.56,750.0,39.81,0.879,1
27.1811,88.221,"Rimbi, Sikkim",60.0,25.1,11.197,2.898,21.0,74.7,156.21,332.77,33.2,1.025,1
27.1693,88.1644,"Rimbi, Sikkim",24.97,0.0,9.81,0.094,20.5,45.0,3.49,14.86,35.26,1.615,0
27.2302,88.243,"Rimbi, Sikkim",33.4,0.0,9.772,0.008,10.1,47.9,6.36,44.01,38.16,1.515,0
27.213,88.2071,"Rimbi, Sikkim",60.0,17.95,9.808,0.028,22.7,83.8,86.23,196.4,40.33,1.005,0
27.2108,88.2014,"Rimbi, Sikkim",60.0,18.34,9.806,0.035,22.1,85.8,207.46,491.07,28.97,1.385,0
27.1784,88.1708,"Rimbi, Sikkim",50.88,14.88,9.835,0.048,19.9,63.4,21.51,86.88,34.77,1.243,0
27.1805,88.2165,"Rimbi, Sikkim",60.0,21.1,9.841,0.005,12.9,78.6,226.51,750.0,28.9,1.307,0
27.1551,88.2465,"Rimbi, Sikkim",24.38,0.0,9.79,0.03,20.1,50.5,0.63,7.13,31.12,1.799,0
27.2031,88.2186,"Rimbi, Sikkim",46.16,8.68,9.777,0.022,20.9,58.0,13.94,46.38,44.52,1.144,0
27.1777,88.2606,"Rimbi, Sikkim",60.0,19.07,11.664,7.35,17.0,72.8,186.13,399.09,35.26,1.117,1
27.1961,88.1819,"Rimbi, Sikkim",60.0,25.48,11.747,8.429,21.8,72.4,186.25,661.06,47.48,0.832,1
27.2479,88.1625,"Rimbi, Sikkim",60.0,23.75,9.794,0.01,24.6,83.1,153.23,334.83,32.75,1.077,0
27.2487,88.1931,"Rimbi, Sikkim",29.61,0.0,9.801,0.069,16.7,55.6,3.72,13.17,41.47,1.424,0
27.2269,88.194,"Rimbi, Sikkim",36.27,0.0,9.856,0.026,14.8,60.0,0.45,3.77,39.08,1.488,0
27.2132,88.2181,"Rimbi, Sikkim",60.0,22.06,10.808,4.859,17.4,73.7,250.03,674.16,38.23,0.954,1
27.2351,88.221,"Rimbi, Sikkim",47.67,10.33,9.791,0.031,20.2,67.6,39.96,128.0,32.18,1.464,0
27.2409,88.2448,"Rimbi, Sikkim",36.08,0.0,9.78,0.116,18.1,62.6,9.46,25.39,36.39,1.574,0
27.1952,88.2185,"Rimbi, Sikkim",26.66,0.0,9.832,0.004,14.6,56.4,5.69,20.03,38.04,1.519,0
27.2349,88.2511,"Rimbi, Sikkim",29.28,0.0,9.823,0.051,22.6,45.2,9.64,33.82,36.64,1.565,0
27.1614,88.2422,"Rimbi, Sikkim",27.02,0.0,9.803,0.08,17.5,40.0,2.17,5.36,39.88,1.465,0
27.2063,88.2227,"Rimbi, Sikkim",45.03,7.58,9.819,0.059,20.5,56.4,16.7,35.77,36.02,1.391,0
27.1911,88.1687,"Rimbi, Sikkim",50.21,13.13,9.764,0.046,20.6,64.6,13.69,50.2,36.03,1.246,0
27.2471,88.255,"Rimbi, Sikkim",40.42,4.32,9.834,0.058,17.5,60.9,15.45,34.92,38.0,1.411,0
27.1721,88.2,"Rimbi, Sikkim",39.23,3.09,9.781,0.026,20.6,61.5,4.32,22.42,41.99,1.335,0
27.2118,88.2176,"Rimbi, Sikkim",40.04,3.76,10.403,3.528,24.8,58.6,20.15,103.68,46.63,1.229,1
27.1648,88.1625,"Rimbi, Sikkim",56.41,20.77,9.83,0.029,21.7,75.2,26.82,100.87,35.03,1.079,0
27.2505,88.2598,"Rimbi, Sikkim",60.0,18.68,9.733,0.052,12.0,79.9,72.2,196.72,28.61,1.392,0
27.2077,88.2055,"Rimbi, Sikkim",42.74,6.77,9.803,0.13,17.5,57.7,12.21,69.78,41.48,1.256,0
27.2484,88.2085,"Rimbi, Sikkim",42.39,6.49,9.815,0.038,15.6,58.5,5.14,26.37,43.53,1.217,0
27.1997,88.1737,"Rimbi, Sikkim",27.83,0.0,9.811,0.031,22.8,52.0,5.88,16.82,32.85,1.715,0
27.189,88.2262,"Rimbi, Sikkim",60.0,21.89,10.841,3.151,18.2,78.4,266.98,688.7,43.46,0.839,1
27.2255,88.261,"Rimbi, Sikkim",40.76,3.87,9.82,0.013,17.6,51.8,10.28,46.32,40.62,1.349,0
27.2315,88.2295,"Rimbi, Sikkim",45.4,9.11,9.809,0.134,12.5,68.2,18.87,53.19,33.07,1.46,0
27.1707,88.1974,"Rimbi, Sikkim",38.06,1.33,9.752,0.085,29.8,58.1,1.07,14.67,26.86,2.015,0
27.2251,88.209,"Rimbi, Sikkim",60.0,23.77,11.138,8.208,18.6,69.8,178.18,419.94,35.14,0.997,1
27.2287,88.2276,"Rimbi, Sikkim",42.8,6.7,11.98,7.636,17.6,60.1,5.14,21.87,42.6,1.232,1
27.1991,88.1949,"Rimbi, Sikkim",53.48,13.51,9.759,0.061,12.4,69.1,21.55,52.76,35.76,1.246,0
27.1685,88.2055,"Rimbi, Sikkim",30.73,0.0,9.757,0.192,18.9,45.7,5.21,63.01,38.38,1.509,0
27.2199,88.1687,"Rimbi, Sikkim",35.51,0.0,9.849,0.125,18.0,56.0,7.57,28.39,30.91,1.809,0
27.1842,88.1749,"Rimbi, Sikkim",60.0,24.39,11.396,2.297,18.7,77.7,187.1,645.55,41.54,0.835,1
27.1817,88.2421,"Rimbi, Sikkim",41.47,3.83,9.794,0.02,12.9,67.6,4.21,29.8,36.54,1.47,0
27.1921,88.2486,"Rimbi, Sikkim",36.08,0.0,9.824,0.07,11.9,45.9,9.73,50.41,42.08,1.409,0
27.2257,88.1981,"Rimbi, Sikkim",27.12,0.0,9.769,0.047,24.6,48.8,6.66,26.84,33.24,1.698,0
27.1687,88.1616,"Rimbi, Sikkim",27.82,0.0,9.827,0.013,13.8,45.9,2.7,32.5,30.72,1.819,0
27.195,88.2118,"Rimbi, Sikkim",60.0,18.92,10.774,1.611,20.2,73.9,287.66,639.7,41.76,0.947,1
27.1973,88.1981,"Rimbi, Sikkim",47.89,9.23,9.856,0.202,17.1,78.0,2.17,62.88,41.25,1.2,0
27.2252,88.1708,"Rimbi, Sikkim",42.39,5.05,9.836,0.029,22.0,67.2,25.62,73.56,35.38,1.479,0
27.1633,88.2161,"Rimbi, Sikkim",60.0,18.34,10.795,7.042,18.9,82.9,99.53,373.09,48.23,0.844,1
27.1556,88.2011,"Rimbi, Sikkim",60.0,24.31,10.543,2.21,18.5,77.6,276.08,750.0,38.96,0.878,1
27.1721,88.1826,"Rimbi, Sikkim",43.74,6.2,9.833,0.014,18.7,62.9,0.64,70.72,37.58,1.376,0
27.2009,88.2151,"Rimbi, Sikkim",46.22,7.41,9.837,0.137,15.3,57.4,31.41,95.76,39.92,1.278,0
27.1939,88.1748,"Rimbi, Sikkim",26.76,0.0,9.805,0.033,13.8,58.0,4.49,10.29,40.08,1.46,0
27.1995,88.2414,"Rimbi, Sikkim",27.27,0.0,9.862,0.002,17.3,42.4,2.5,11.03,42.71,1.395,0
27.2203,88.2132,"Rimbi, Sikkim",60.0,17.94,9.807,0.023,12.4,78.6,94.28,270.4,35.48,1.139,0
27.1667,88.2221,"Rimbi, Sikkim",55.42,15.75,9.803,0.03,10.1,69.8,25.71,91.62,38.53,1.106,0
27.203,88.2439,"Rimbi, Sikkim",60.0,20.35,12.223,5.508,18.7,73.9,207.66,444.17,37.48,1.017,1
27.1678,88.2002,"Rimbi, Sikkim",60.0,25.47,10.41,5.452,17.2,67.4,280.43,750.0,38.79,0.853,1
27.1626,88.2138,"Rimbi, Sikkim",51.82,13.86,11.59,4.153,21.9,70.8,20.09,80.21,44.89,1.01,1
27.2429,88.2558,"Rimbi, Sikkim",38.07,1.66,9.849,0.121,21.4,46.4,3.73,57.76,37.27,1.502,0
27.1555,88.1983,"Rimbi, Sikkim",33.84,0.0,9.803,0.056,20.2,40.0,13.25,35.04,37.26,1.544,0
27.185,88.2247,"Rimbi, Sikkim",32.73,0.0,9.863,0.094,20.1,49.4,0.49,10.05,38.03,1.519,0
27.2233,88.1802,"Rimbi, Sikkim",41.08,3.67,9.806,0.069,15.2,62.5,22.11,92.75,37.5,1.443,0
27.1709,88.1898,"Rimbi, Sikkim",42.53,6.61,9.8,0.086,20.0,54.2,6.58,21.6,37.25,1.375,0
27.155,88.2188,"Rimbi, Sikkim",44.91,7.72,9.822,0.032,15.9,51.3,7.62,42.24,39.6,1.279,0
27.2223,88.1619,"Rimbi, Sikkim",54.22,14.41,9.83,0.054,20.4,82.1,19.82,72.65,38.34,1.145,0
27.1958,88.2071,"Rimbi, Sikkim",43.4,7.14,9.786,0.029,28.7,74.1,7.27,28.43,38.93,1.312,0
27.2135,88.2366,"Rimbi, Sikkim",60.0,25.0,11.66,2.913,10.0,80.0,259.19,750.0,40.6,0.838,1
27.2392,88.1771,"Rimbi, Sikkim",40.47,4.1,9.781,0.022,21.0,57.1,8.42,77.78,41.68,1.317,0
27.1921,88.2213,"Rimbi, Sikkim",36.61,0.19,9.822,0.024,18.5,59.2,7.32,23.93,42.2,1.402,0
27.2014,88.2279,"Rimbi, Sikkim",60.0,25.85,9.813,0.106,15.8,79.9,70.84,145.2,42.06,0.833,0
27.2093,88.1942,"Rimbi, Sikkim",38.62,1.74,9.827,0.012,21.0,61.2,2.57,22.11,40.43,1.407,0
27.2443,88.2436,"Rimbi, Sikkim",60.0,18.89,10.368,5.548,13.4,80.5,257.19,750.0,33.16,1.193,1
27.2254,88.2001,"Rimbi, Sikkim",49.36,10.96,9.845,0.051,26.0,70.4,18.05,75.97,35.22,1.33,0
27.1577,88.2589,"Rimbi, Sikkim",50.7,11.37,9.833,0.009,22.2,66.0,11.58,57.4,36.25,1.285,0
27.2203,88.1901,"Rimbi, Sikkim",60.0,21.39,11.824,1.342,16.1,76.3,158.8,356.49,37.41,0.993,1
27.198,88.1862,"Rimbi, Sikkim",54.28,17.14,9.816,0.028,10.9,75.8,21.64,111.68,35.1,1.172,0
27.2266,88.2258,"Rimbi, Sikkim",60.0,20.19,11.659,5.181,15.8,78.5,219.11,681.64,34.59,1.109,1
27.2045,88.1989,"Rimbi, Sikkim",60.0,17.92,12.044,5.083,23.6,81.4,271.22,750.0,32.23,1.254,1
27.1832,88.2427,"Rimbi, Sikkim",60.0,22.33,11.735,5.275,25.5,70.8,245.22,750.0,36.54,0.993,1
27.1917,88.2091,"Rimbi, Sikkim",60.0,22.33,9.781,0.213,17.3,77.8,42.64,119.12,38.42,0.942,0
27.1699,88.2479,"Rimbi, Sikkim",54.83,19.45,9.799,0.089,20.9,66.7,27.69,102.85,36.87,1.058,0
27.1771,88.1784,"Rimbi, Sikkim",60.0,18.53,11.278,5.747,16.6,76.4,143.99,470.94,36.69,1.087,1
27.215,88.1748,"Rimbi, Sikkim",22.26,0.0,9.813,0.013,17.1,40.0,0.1,2.02,38.94,1.492,0
27.2503,88.2174,"Rimbi, Sikkim",38.26,1.54,9.811,0.083,14.9,55.7,0.74,15.77,40.38,1.413,0
27.1571,88.1754,"Rimbi, Sikkim",40.07,2.88,9.808,0.12,23.5,64.6,19.85,64.99,38.94,1.419,0
27.2458,88.2162,"Rimbi, Sikkim",35.65,0.0,9.815,0.025,15.5,58.7,0.96,40.88,39.52,1.475,0
27.188,88.2309,"Rimbi, Sikkim",60.0,24.36,11.178,5.393,19.7,70.0,227.09,729.81,41.06,0.836,1
27.1897,88.1757,"Rimbi, Sikkim",39.19,2.32,9.775,0.058,18.9,55.5,20.56,97.45,35.87,1.532,0
27.227,88.1979,"Rimbi, Sikkim",42.79,6.85,9.782,0.006,28.1,66.4,4.4,22.92,42.64,1.227,0
27.2506,88.1882,"Rimbi, Sikkim",32.05,0.0,9.809,0.011,18.3,63.4,15.94,34.69,35.84,1.593,0
27.1603,88.2195,"Rimbi, Sikkim",60.0,18.47,11.092,8.015,16.3,81.1,222.11,605.85,36.54,1.093,1
27.1625,88.241,"Rimbi, Sikkim",51.97,12.88,9.791,0.018,15.4,65.3,18.2,122.31,28.52,1.567,0
27.1896,88.2588,"Rimbi, Sikkim",60.0,17.96,9.803,0.086,21.7,75.0,93.87,193.87,35.75,1.13,0
27.2425,88.2129,"Rimbi, Sikkim",39.23,2.24,9.79,0.103,25.9,60.4,7.16,22.3,32.44,1.673,0
27.188,88.2604,"Rimbi, Sikkim",48.43,12.06,9.792,0.178,25.1,68.2,0.85,69.47,42.92,1.093,0
27.1883,88.1729,"Rimbi, Sikkim",46.45,8.07,10.878,1.847,16.3,65.7,8.94,57.56,41.6,1.22,1
27.2262,88.2443,"Rimbi, Sikkim",34.51,0.0,9.833,0.014,21.3,49.0,7.01,65.74,35.44,1.608,0
27.1849,88.1891,"Rimbi, Sikkim",60.0,23.36,12.071,5.816,14.2,73.3,76.06,196.35,36.11,0.979,1
27.1954,88.1812,"Rimbi, Sikkim",29.29,0.0,9.843,0.053,18.1,51.4,0.22,46.0,31.82,1.764,0
27.2418,88.2468,"Rimbi, Sikkim",43.49,7.55,9.802,0.008,13.0,59.5,9.07,39.3,34.47,1.447,0
27.2231,88.244,"Rimbi, Sikkim",38.42,1.75,9.868,0.034,18.4,63.6,15.81,72.49,40.19,1.413,0
27.1777,88.2092,"Rimbi, Sikkim",44.16,6.81,10.707,5.327,14.4,51.9,7.48,46.8,43.15,1.218,1
27.1891,88.2438,"Rimbi, Sikkim",33.18,0.0,9.781,0.084,17.9,60.8,3.26,69.35,37.52,1.536,0
27.1673,88.1803,"Rimbi, Sikkim",44.4,6.79,9.795,0.005,23.2,75.3,11.29,36.21,38.29,1.339,0
27.2141,88.1999,"Rimbi, Sikkim",60.0,24.7,9.854,0.019,15.0,78.3,52.21,176.42,38.41,0.882,0
27.1674,88.1723,"Rimbi, Sikkim",41.83,4.33,9.795,0.007,16.7,56.1,0.5,26.51,35.76,1.484,0
27.1999,88.2353,"Rimbi, Sikkim",60.0,20.76,11.572,7.124,21.8,85.6,75.08,269.86,39.08,0.965,1
27.1578,88.2356,"Rimbi, Sikkim",31.52,0.0,9.845,0.013,16.8,49.9,8.09,20.73,36.73,1.562,0
27.2139,88.1944,"Rimbi, Sikkim",41.29,4.04,9.813,0.007,13.6,55.4,10.92,23.75,40.6,1.345,0
27.1555,88.2584,"Rimbi, Sikkim",37.02,0.5,9.818,0.064,16.6,58.4,11.74,52.08,37.73,1.516,0
27.1901,88.2548,"Rimbi, Sikkim",27.08,0.0,9.849,0.112,18.3,55.0,0.75,27.53,31.78,1.766,0
27.205,88.2183,"Rimbi, Sikkim",41.51,5.48,9.874,0.014,20.5,71.9,1.57,23.04,40.04,1.324,0
27.1855,88.202,"Rimbi, Sikkim",60.0,24.91,12.085,3.215,11.4,72.4,34.74,152.03,38.51,0.875,1
27.2185,88.2081,"Rimbi, Sikkim",60.0,19.24,10.268,8.089,20.4,76.8,217.12,586.48,36.02,1.089,1
27.192,88.1643,"Rimbi, Sikkim",46.11,9.97,9.803,0.003,18.9,64.8,6.52,34.06,37.8,1.273,0
27.1894,88.1805,"Rimbi, Sikkim",32.18,0.0,9.808,0.016,10.2,49.6,10.33,29.2,34.02,1.665,0
27.2456,88.1871,"Rimbi, Sikkim",60.0,20.21,10.926,4.78,17.2,77.5,187.56,626.47,33.49,1.146,1
27.1586,88.1781,"Rimbi, Sikkim",26.01,0.0,9.804,0.151,18.6,50.5,3.54,23.41,36.34,1.576,0
27.1652,88.1793,"Rimbi, Sikkim",38.18,1.46,9.806,0.026,14.9,59.4,4.11,49.56,39.25,1.446,0
27.1767,88.2567,"Rimbi, Sikkim",60.0,22.55,9.807,0.046,14.2,70.4,79.37,260.98,39.7,0.904,0
27.2291,88.1839,"Rimbi, Sikkim",60.0,20.39,10.678,3.628,18.0,76.4,237.22,551.02,33.17,1.152,1
27.2203,88.2259,"Rimbi, Sikkim",28.26,0.0,9.759,0.112,18.1,42.3,1.48,4.03,37.94,1.522,0
27.1852,88.1984,"Rimbi, Sikkim",58.12,21.38,11.582,5.064,10.1,64.9,23.05,179.39,33.38,1.118,1
27.2427,88.2095,"Rimbi, Sikkim",33.79,0.0,9.814,0.084,15.6,53.6,17.1,61.57,38.3,1.511,0
27.2468,88.1797,"Rimbi, Sikkim",42.34,6.34,9.786,0.084,15.1,63.7,0.42,18.8,37.18,1.384,0
27.1562,88.2106,"Rimbi, Sikkim",50.69,11.25,9.815,0.126,13.1,68.3,17.19,70.09,38.65,1.216,0
27.2115,88.2134,"Rimbi, Sikkim",60.0,19.96,11.22,3.829,21.5,74.2,231.15,675.56,34.96,1.103,1
27.2176,88.1968,"Rimbi, Sikkim",57.04,16.69,11.227,3.75,21.8,75.3,30.62,61.28,43.32,0.97,1
27.166,88.1894,"Rimbi, Sikkim",47.73,10.23,9.822,0.021,12.7,75.9,11.39,36.23,46.1,1.078,0
27.1597,88.1684,"Rimbi, Sikkim",60.0,21.26,12.162,4.856,17.5,77.4,121.11,258.94,36.93,1.01,1
27.1901,88.2511,"Rimbi, Sikkim",42.17,5.0,9.774,0.007,19.8,74.0,17.08,68.2,34.91,1.498,0
27.2019,88.1783,"Rimbi, Sikkim",40.72,4.74,9.801,0.008,22.0,58.6,0.31,8.72,33.33,1.567,0
27.1886,88.2592,"Rimbi, Sikkim",51.23,15.08,9.786,0.093,21.5,67.9,19.99,58.83,32.57,1.318,0
27.1556,88.2216,"Rimbi, Sikkim",41.79,4.21,9.776,0.011,16.8,62.1,10.44,76.73,42.19,1.303,0
27.2135,88.2496,"Rimbi, Sikkim",53.88,15.56,9.844,0.141,18.5,56.2,12.62,129.51,35.85,1.189,0
27.1941,88.2035,"Rimbi, Sikkim",58.49,23.24,9.829,0.014,22.4,75.6,25.95,118.31,32.3,1.107,0
27.2494,88.1638,"Rimbi, Sikkim",39.12,2.19,9.824,0.04,16.6,52.2,0.13,6.66,33.08,1.646,0
27.2132,88.2316,"Rimbi, Sikkim",43.11,6.12,9.835,0.014,14.7,66.0,1.37,11.44,32.72,1.555,0
27.1616,88.2328,"Rimbi, Sikkim",45.48,9.27,9.795,0.17,22.5,60.2,10.23,41.95,43.33,1.153,0
27.2185,88.163,"Rimbi, Sikkim",60.0,18.39,9.756,0.047,14.2,72.1,70.81,259.81,43.96,0.915,0
27.2375,88.2251,"Rimbi, Sikkim",45.88,9.83,9.794,0.049,11.6,64.9,6.5,54.4,37.02,1.3,0
27.2452,88.2241,"Rimbi, Sikkim",30.77,0.0,9.731,0.123,19.3,47.1,4.49,13.33,36.48,1.571,0
27.195,88.223,"Rimbi, Sikkim",39.08,2.44,9.824,0.01,20.9,53.8,20.48,58.21,29.11,1.839,0
27.2388,88.2035,"Rimbi, Sikkim",30.83,0.0,9.806,0.005,22.8,50.9,1.31,23.07,31.93,1.758,0
27.1948,88.1717,"Rimbi, Sikkim",60.0,21.9,11.32,7.825,20.7,84.5,163.66,499.17,34.16,1.078,1
27.2089,88.2058,"Rimbi, Sikkim",60.0,25.16,11.957,1.378,21.2,74.8,143.91,546.04,40.44,0.839,1
27.1903,88.1653,"Rimbi, Sikkim",40.91,4.83,9.789,0.017,13.9,73.1,9.62,89.16,47.97,1.183,0
27.2129,88.1669,"Rimbi, Sikkim",32.14,0.0,9.832,0.054,19.6,59.6,0.62,3.0,41.08,1.434,0
27.1613,88.1666,"Rimbi, Sikkim",60.0,25.44,10.253,1.432,20.4,73.9,201.0,573.64,37.28,0.893,1
27.1809,88.2131,"Rimbi, Sikkim",27.87,0.0,9.827,0.157,15.9,50.9,0.16,2.53,38.59,1.502,0
27.212,88.1959,"Rimbi, Sikkim",29.0,0.0,9.813,0.014,18.2,51.7,9.01,30.37,38.42,1.507,0
27.222,88.2395,"Rimbi, Sikkim",27.13,0.0,9.807,0.093,22.6,47.4,3.7,17.98,36.55,1.568,0
27.2128,88.1956,"Rimbi, Sikkim",43.92,7.04,9.805,0.012,21.5,64.1,4.51,76.44,37.27,1.364,0
27.1571,88.255,"Rimbi, Sikkim",60.0,23.63,11.932,3.508,22.8,70.1,247.56,750.0,30.69,1.158,1
27.2503,88.1712,"Rimbi, Sikkim",60.0,18.03,11.369,2.667,16.2,83.6,160.53,353.17,34.83,1.158,1
27.1943,88.1834,"Rimbi, Sikkim",38.19,1.76,9.803,0.021,24.0,57.9,7.74,35.0,36.22,1.534,0
27.2071,88.2101,"Rimbi, Sikkim",33.07,0.0,9.817,0.046,16.1,59.0,13.29,59.47,33.26,1.697,0
27.1739,88.2523,"Rimbi, Sikkim",43.77,7.29,9.791,0.023,12.7,59.2,3.43,16.07,38.79,1.312,0
27.2418,88.231,"Rimbi, Sikkim",60.0,25.6,10.483,5.053,17.7,87.7,181.14,683.0,40.19,0.84,1
27.2244,88.1963,"Rimbi, Sikkim",34.79,0.0,9.82,0.062,17.8,53.2,1.26,24.29,43.39,1.381,0
27.1912,88.2102,"Rimbi, Sikkim",51.86,13.3,10.699,8.181,15.0,64.3,22.78,53.07,36.17,1.238,1
27.2164,88.2048,"Rimbi, Sikkim",60.0,19.79,9.829,0.013,19.7,63.5,190.45,648.37,29.98,1.296,0
27.1797,88.2483,"Rimbi, Sikkim",60.0,22.9,12.217,5.468,27.5,77.0,135.57,326.18,44.65,0.829,1
27.1804,88.2238,"Rimbi, Sikkim",43.09,5.24,9.8,0.02,20.1,66.2,8.64,45.56,33.8,1.534,0
27.2236,88.2237,"Rimbi, Sikkim",52.48,14.22,12.163,2.277,21.5,74.8,29.29,143.73,46.56,0.972,1
27.2277,88.1816,"Rimbi, Sikkim",52.47,14.5,9.848,0.013,21.0,69.8,17.98,70.99,44.38,1.003,0
27.1918,88.2172,"Rimbi, Sikkim",29.01,0.0,9.803,0.017,15.9,43.5,1.99,19.79,36.51,1.569,0
27.2396,88.2582,"Rimbi, Sikkim",51.06,12.18,9.843,0.082,14.2,78.1,17.53,44.92,36.66,1.251,0
27.2385,88.1739,"Rimbi, Sikkim",60.0,25.38,11.407,2.06,17.6,74.5,93.08,302.41,32.77,1.031,1
27.1554,88.1897,"Rimbi, Sikkim",34.61,0.0,9.742,0.048,18.2,42.4,6.03,36.46,28.26,1.962,0
27.1932,88.1739,"Rimbi, Sikkim",56.36,19.15,10.4,1.922,23.1,72.0,17.02,148.96,40.15,0.979,1
27.2204,88.2515,"Rimbi, Sikkim",60.0,23.26,12.167,3.178,15.3,64.1,187.72,455.73,37.25,0.95,1
27.1924,88.2603,"Rimbi, Sikkim",34.92,0.0,9.767,0.052,18.3,40.0,0.9,8.92,42.67,1.396,0
27.1817,88.2018,"Rimbi, Sikkim",34.87,0.0,9.726,0.161,18.2,51.7,3.4,76.9,43.28,1.383,0
27.158,88.2325,"Rimbi, Sikkim",51.06,12.37,9.809,0.014,17.1,61.8,27.0,59.36,30.41,1.487,0
27.1538,88.2044,"Rimbi, Sikkim",42.84,5.74,9.845,0.009,20.3,57.7,10.76,69.25,38.17,1.369,0
27.1751,88.2244,"Rimbi, Sikkim",60.0,25.4,10.26,3.61,19.1,75.3,135.72,359.13,46.91,0.83,1
27.174,88.2173,"Rimbi, Sikkim",60.0,20.24,9.813,0.013,23.4,68.6,102.97,254.35,33.7,1.138,0
27.1608,88.1692,"Rimbi, Sikkim",49.95,11.52,10.405,7.587,18.8,70.8,14.01,54.48,42.79,1.108,1
27.2411,88.2398,"Rimbi, Sikkim",33.51,0.0,9.791,0.006,10.8,47.3,18.46,56.53,39.42,1.478,0
27.2493,88.1842,"Rimbi, Sikkim",60.0,19.62,11.239,7.326,14.3,72.9,251.44,750.0,39.17,0.991,1
27.1817,88.2612,"Rimbi, Sikkim",34.13,0.0,9.783,0.062,16.2,56.1,0.28,6.35,37.65,1.531,0
27.2205,88.1916,"Rimbi, Sikkim",29.2,0.0,9.812,0.149,10.0,59.6,12.08,25.56,32.61,1.726,0
27.1783,88.2455,"Rimbi, Sikkim",60.0,21.56,11.298,8.327,14.1,72.6,177.81,431.22,31.14,1.197,1
27.1925,88.1655,"Rimbi, Sikkim",32.19,0.0,9.805,0.019,21.9,49.0,0.49,15.84,35.21,1.617,0
27.1887,88.1791,"Rimbi, Sikkim",29.85,0.0,9.867,0.139,12.4,55.0,6.35,20.3,33.17,1.701,0
27.1619,88.25,"Rimbi, Sikkim",60.0,21.03,10.947,3.831,20.1,75.7,276.5,750.0,40.06,0.934,1
27.222,88.2285,"Rimbi, Sikkim",34.21,0.0,11.166,4.981,13.3,54.1,2.86,12.24,46.72,1.32,1
27.2126,88.2333,"Rimbi, Sikkim",60.0,25.09,10.909,2.849,18.1,77.6,247.63,543.0,44.27,0.829,1
27.2473,88.1682,"Rimbi, Sikkim",39.24,2.24,9.814,0.011,18.2,54.2,19.39,80.88,35.82,1.536,0
27.156,88.2175,"Rimbi, Sikkim",48.89,13.06,9.798,0.021,19.2,67.6,31.09,58.66,42.82,1.07,0
27.1931,88.1696,"Rimbi, Sikkim",60.0,23.9,11.838,3.769,12.7,88.7,159.95,644.94,41.49,0.835,1
27.2481,88.238,"Rimbi, Sikkim",27.26,0.0,9.817,0.006,22.0,47.3,1.73,13.79,38.88,1.493,0
27.2011,88.2569,"Rimbi, Sikkim",60.0,25.11,10.302,3.62,16.5,88.4,111.8,361.5,45.07,0.829,1
27.2295,88.1691,"Rimbi, Sikkim",38.13,1.32,9.763,0.044,14.7,48.2,3.93,20.86,30.29,1.805,0
27.2189,88.2086,"Rimbi, Sikkim",53.34,15.29,10.162,2.373,19.9,68.8,8.09,89.8,35.13,1.22,1
27.2117,88.1855,"Rimbi, Sikkim",39.01,2.01,9.794,0.088,18.1,58.1,0.11,4.48,41.3,1.378,0
27.1992,88.1943,"Rimbi, Sikkim",53.73,14.91,9.768,0.072,15.5,62.3,24.21,69.48,39.29,1.107,0
27.1968,88.1718,"Rimbi, Sikkim",30.63,0.0,9.803,0.157,16.6,49.2,0.72,37.22,35.18,1.618,0
27.1654,88.2072,"Rimbi, Sikkim",35.87,0.0,9.807,0.105,10.0,51.1,6.74,25.04,32.2,1.745,0
27.1767,88.1886,"Rimbi, Sikkim",60.0,22.79,10.801,3.505,17.4,71.6,188.56,710.41,31.66,1.143,1
27.2171,88.1627,"Rimbi, Sikkim",60.0,22.4,10.518,5.448,16.6,76.3,288.22,750.0,37.37,0.968,1
27.1984,88.2187,"Rimbi, Sikkim",31.39,0.0,9.824,0.013,16.5,61.4,4.25,38.27,40.94,1.437,0
27.1872,88.2145,"Rimbi, Sikkim",60.0,19.71,10.535,1.679,15.3,79.7,216.46,630.18,43.44,0.893,1
27.2353,88.2056,"Rimbi, Sikkim",33.82,0.0,9.802,0.047,20.5,58.7,8.24,26.2,33.57,1.684,0
27.2011,88.2473,"Rimbi, Sikkim",35.65,0.0,9.832,0.037,19.8,57.0,1.69,33.52,36.79,1.56,0
27.1983,88.2557,"Rimbi, Sikkim",60.0,21.27,10.906,3.036,19.3,70.5,182.1,681.52,34.01,1.1,1
27.2426,88.1651,"Rimbi, Sikkim",60.0,23.53,10.97,4.878,14.2,74.9,251.89,624.52,39.82,0.877,1
27.1707,88.2109,"Rimbi, Sikkim",35.34,0.0,9.839,0.002,15.7,55.2,0.71,7.83,40.44,1.45,0
27.1659,88.2489,"Rimbi, Sikkim",42.97,4.98,9.809,0.002,10.0,60.1,0.69,8.38,34.27,1.522,0
27.197,88.1775,"Rimbi, Sikkim",49.2,9.79,9.872,0.085,19.8,65.1,6.85,68.98,32.34,1.472,0
27.2203,88.2314,"Rimbi, Sikkim",53.79,16.85,11.39,4.775,23.2,73.9,15.69,80.38,45.37,0.927,1
